rank,title,actors,publish_date,country,types,score,vote_count,avatar_url,detail_url
88,天使爱美丽,"['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰', '贾梅尔·杜布兹', '克洛蒂尔德·莫勒', '克莱尔·莫里耶', '伊莎贝尔·南蒂', '多米尼克·皮侬', '阿尔蒂斯·德·彭居埃恩', '友兰达·梦露', '于尔班·康塞利埃', '莫里斯·贝尼舒', '米歇尔·罗班', '安德烈·达芒', '克洛德·佩隆', '阿尔梅尔', '迪基·奥尔加多', 'Kevin Fernandes', '弗洛拉·吉耶', '阿莫里·巴博尔', '欧仁·贝蒂埃', '让·达里', '马克·阿米约', '安德烈·杜索里埃', '林原惠美', '姜广涛']",2001-04-25,"['法国', '德国']","['喜剧', '爱情']",8.7,746486,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.webp,https://movie.douban.com/subject/1292215/
89,超能陆战队,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '杰米·钟', '小达蒙·韦恩斯', '珍尼希斯·罗德里格兹', '詹姆斯·克伦威尔', '艾伦·图代克', '玛娅·鲁道夫', '亚布拉哈姆·本鲁比', '凯蒂·洛斯', '比利·布什', '丹尼尔·吉尔森', '保罗·布里格斯', '斯坦·李', '查尔斯·阿德勒', '菅野美穗', '郝祥海', '乔西·特立尼达', 'Dan Howell', '大卫·肖内西', '夏洛特·古列齐']",2015-02-28,['美国'],"['喜剧', '动作', '科幻', '动画', '冒险']",8.7,674435,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.webp,https://movie.douban.com/subject/11026735/
90,喜剧之王,"['周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善', '田启文', '李兆基', '成龙', '李思捷', '郑文辉', '陈宝骏', '戴龙', '袁富华', '叶竞生', '徐志雄', '侯焕玲', '冯勉恒', '郑祖', '胡立成']",1999-02-13,['中国香港'],"['喜剧', '剧情', '爱情']",8.7,635335,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp,https://movie.douban.com/subject/1302425/
91,疯狂原始人,"['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼', '克拉克·杜克', '克里斯·桑德斯', '兰迪·汤姆', '范晓萱', '梁家辉']",2013-04-20,['美国'],"['喜剧', '动画', '冒险']",8.7,598886,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.webp,https://movie.douban.com/subject/1907966/
92,射雕英雄传之东成西就,"['梁朝伟', '林青霞', '张国荣', '叶玉卿', '张学友', '王祖贤', '张曼玉', '梁家辉', '刘嘉玲', '钟镇涛', '鲍起静', '司马华龙', '麦伟章', '尹尚林', '魏伯勤', '林芳雪']",1993-02-05,['中国香港'],"['喜剧', '奇幻', '武侠', '古装']",8.7,450163,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.webp,https://movie.douban.com/subject/1316510/
93,怪兽电力公司,"['约翰·古德曼', '比利·克里斯托', '玛丽·吉布斯', '史蒂夫·布西密', '詹姆斯·柯本', '詹妮弗·提莉', '鲍勃·彼德森', '约翰·拉岑贝格', '弗兰克·奥兹', '丹尼尔·吉尔森', '邦尼·亨特', '杰克·安杰尔', '塞缪尔·洛德·布莱克', '史蒂夫·萨斯坎德', '王伟忠', '胡立成', '雪莉·琳恩', '李立宏', '李·昂克里奇', '比尔·法玛尔', '华莱士·肖恩', '黄子佼']",2001-11-02,['美国'],"['儿童', '喜剧', '动画', '奇幻', '冒险']",8.7,438838,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp,https://movie.douban.com/subject/1291579/
94,头脑特工队,"['艾米·波勒', '菲利丝·史密斯', '理查德·坎德', '比尔·哈德尔', '刘易斯·布莱克', '敏迪·卡灵', '凯特林·迪亚斯', '戴安·琳恩', '凯尔·麦克拉克伦', '波拉·庞德斯通', '鲍比·莫尼汉', '宝拉·佩尔', '大卫·戈尔兹', '弗兰克·奥兹', '乔什·库雷', '弗利', '约翰·拉岑贝格', '卡洛斯·阿拉斯拉奇', '皮特·萨加尔', '拉什达·琼斯', '罗里·艾伦', '约翰·齐甘', '雪莉·琳恩', '拉瑞恩·纽曼', '帕丽斯·冯·戴克', '特蕾莎·甘泽尔', '鲍伯·伯根', '杰夫·奎卡', '张震', '山新', '佟心竹']",2015-10-06,['美国'],"['喜剧', '动画', '冒险']",8.7,401771,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.webp,https://movie.douban.com/subject/10533913/
95,时空恋旅人,"['多姆纳尔·格里森', '瑞秋·麦克亚当斯', '比尔·奈伊', '莉迪亚·威尔逊', '琳赛·邓肯', '理查德·科德里', '约书亚·麦圭尔', '汤姆·霍兰德', '玛格特·罗比', '维尔·梅里克', '凡妮莎·柯比', '汤姆·休斯', '哈利·海顿-佩顿', '米切尔·马伦', '丽莎·艾科恩', '珍妮·莱恩斯福德', '菲利普-沃斯', '凯瑟琳·斯戴曼', '汤姆·斯托顿', '安部春香', '李·阿斯奎斯-柯', '理查德·班克斯', '保罗·布莱克维尔', '贝恩·科拉科', '格拉姆·柯里', '罗薇娜·戴蒙德', '约翰·达根', '迪诺·法赞尼', '内芙·加切夫', '理查德·E·格兰特', '理查德·格雷弗斯', '李·尼古拉斯·哈里斯', '理查德·赫德曼', '李仙湖', '马修·C·马蒂诺', '马汀·麦格', '艾莉克丝摩尔', '艾薇·维', '艾莎·哈特', '黛博拉·罗桑', '弗朗西斯卡·祖琪妮', '朱莉·沃洛诺', '阿曼达·伦贝里', '尼可拉·芬恩']",2013-09-04,['英国'],"['喜剧', '爱情', '奇幻']",8.7,372094,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp,https://movie.douban.com/subject/10577869/
96,无敌破坏王,"['约翰·C·赖利', '萨拉·西尔弗曼', '杰克·麦克布瑞尔', '简·林奇', '艾伦·图代克', '敏迪·卡灵', '乔·洛·特鲁格里奥', '艾德·奥尼尔', '丹尼斯·海斯伯特', '伊迪·迈克莱尔', '雷蒙德·S·佩尔西', '杰斯·哈梅尔', '瑞秋·哈里斯', '斯盖拉·阿斯丁', '亚当·卡罗拉', '霍拉提奥·桑斯', '莫里斯·拉马奇', '斯戴芬妮·斯考特', '约翰·迪·马吉欧', '瑞奇·摩尔', '凯蒂·洛斯', '贾米·埃曼', '乔西·特立尼达', '辛贝·沃克', '塔克·吉莫尔', '布兰登·斯考特', '蒂姆·梅尔滕斯', '凯文·迪特斯', '杰洛·里佛斯', '马丁·贾维斯', '布莱恩·克辛格', '罗杰·克莱格·史密斯', '菲尔·约翰斯顿', '鲁本·兰登', '凯尔·赫伯特', '洁米·斯贝勒·罗伯茨', '尼克·格里姆肖', '胡军', '谢娜', '斯科特·门维尔']",2012-11-06,['美国'],"['喜剧', '动画', '奇幻', '冒险']",8.7,365504,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp,https://movie.douban.com/subject/6534248/
97,大佛普拉斯,"['庄益增', '陈竹昇', '戴立忍', '张少怀', '陈以文', '纳豆', '丁国琳', '李永丰', '朱约信', '雷婕熙', '林美秀', '小亮哥', '游安顺', '梁赫群', '脱线', '郑宇彤', '鲁文学']",2017-06-29,['中国台湾'],"['剧情', '喜剧', '犯罪']",8.7,255083,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp,https://movie.douban.com/subject/27059130/
98,上帝也疯狂,"['Marius Weyers', '历苏', 'Sandra Prinsloo', 'Louw Verwey', 'Michael Thys', 'Nic de Jager']",1980-09-10,"['博茨瓦纳', '南非']",['喜剧'],8.7,118850,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173719647.webp,https://movie.douban.com/subject/1297478/
99,疯狂约会美丽都,"['Béatrice Bonifassi', '莉娜·布德罗', 'Michèle Caucheteux']",2003-06-11,"['法国', '比利时', '加拿大', '英国', '拉脱维亚']","['喜剧', '动画']",8.7,66467,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p649728270.webp,https://movie.douban.com/subject/1291565/
100,河童之夏,"['富泽风斗', '横川贵大', '田中直树', '西田尚美', '松元环季', '植松夏希', '羽佐间道夫', '藤本让', '富田耕生', '一城美由希', '岩田安生', '稻叶实', '定冈小百合', '平野正人', '泷本富士子', '成田剑', '木村雅史 ', '大川透', '太田真一郎', '田中一成', '野上尤加奈', '纳谷六朗', '玄田哲章', '乡里大辅', '藤原启治', '矢岛晶子', '优希比吕', '子安武人', '阪口大助', '大西健晴', '川中子雅人', '山中真寻', '岛香裕', '中村千绘', '永岛由子', '宫本侑芽', '安达直人', '吉武怜朗', '日高里菜', '安原义人', '柳乐健一', '照屋年之']",2007-07-28,['日本'],"['喜剧', '动画', '奇幻']",8.7,62592,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1015305516.webp,https://movie.douban.com/subject/2982823/
