rank,title,actors,publish_date,country,types,score,vote_count,avatar_url,detail_url
23,寻梦环游记,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托', '杰米·卡米尔', '阿方索·阿雷奥', '赫伯特·西古恩萨', '加布里埃尔·伊格莱西亚斯', '隆巴多·博伊尔', '安娜·奥菲丽亚·莫吉亚', '娜塔丽·科尔多瓦', '赛琳娜·露娜', '爱德华·詹姆斯·奥莫斯', '索菲亚·伊斯皮诺萨', '卡拉·梅迪纳', '黛娅娜·欧特里', '路易斯·瓦尔德斯', '布兰卡·阿拉切利', '萨尔瓦多·雷耶斯', '切奇·马林', '奥克塔维·索利斯', '约翰·拉岑贝格', '以利亚·罗德里格斯']",2017-11-24,['美国'],"['喜剧', '动画', '奇幻', '音乐']",9.1,1014863,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.webp,https://movie.douban.com/subject/20495023/
24,两杆大烟枪,"['杰森·弗莱明', '德克斯特·弗莱彻', '尼克·莫兰', '杰森·斯坦森', '斯蒂文·麦金托什', '斯汀', '维尼·琼斯', '丹尼·约翰-儒勒', '维克多·麦奎尔', '阿兰·福德', '安德鲁·蒂曼', '马修·沃恩', '弗兰克·哈珀', '罗尼·福克斯', '罗伯·布莱顿', '斯蒂芬·马库斯', '瓦斯·布莱克伍德', 'Lenny McLean', '尼古拉斯·罗尔', 'P.H.莫里亚蒂', '薇拉·黛']",1998-08-28,['英国'],"['剧情', '喜剧', '犯罪']",9.1,420298,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp,https://movie.douban.com/subject/1293350/
25,大独裁者,"['查理·卓别林', '宝莲·高黛', '杰克·奥克', '雷金纳德·加德纳', '邱岳峰', '卡特·德黑文', '比利·吉尔伯特', '格蕾斯·海尔']",1940-10-15,['美国'],"['喜剧', '剧情', '战争']",9.1,48415,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1960167314.webp,https://movie.douban.com/subject/1295646/
26,淘金记,"['查理·卓别林', '马克·斯旺', 'Tom Murray', '亨利·伯格曼', 'Malcolm Waite', '乔治亚·黑尔', 'Jack Adams', 'Sam Allen', 'Harry Arras', '艾伯特·奥斯汀', 'Marta Belfort', 'George Brock', '海尼·康克林', 'Kay Deslys', 'James Dime', 'Leon Farey', 'Charles Force', 'J.C. Fowler', '阿尔·欧内斯特·加西亚', 'Inez Gomez', '希德·格鲁曼', '丽泰·格雷', '雷·格雷', 'F.F. Guenste', 'Jack Herrick', 'George Holt', 'Jean Huntley', 'Gladys Johnston', 'Fred Karno Jr.', 'Elias Lazaroff', 'Joan Lowell', 'Chris-Pin Martin', 'Clyde McAtee', 'John Millerta', '贝蒂莫里西', 'Florence Murth', '约翰兰德', '蒂尼·桑福德', 'Frank Stockdale', 'Frank Rice', 'Lillian Rosine', 'C.F. Roark', 'Armand Triller', 'John Wallace', 'Tom Wood', 'Ed Wilson', 'Bess Wade']",1925-06-26,['美国'],"['喜剧', '爱情', '西部', '冒险']",9.1,32898,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.webp,https://movie.douban.com/subject/1298817/
27,将军号,"['巴斯特·基顿', '玛丽昂·马克', '格伦·卡文德', '吉姆·法利', '弗雷德里克·弗鲁姆', '查尔斯·亨利·史密斯', '弗兰克·巴恩斯', '乔·基顿', '麦克·多林', '汤姆·纳恩', '波利斯·卡洛夫', '安东尼·哈维']",1926-12-31,['美国'],"['剧情', '喜剧', '动作', '战争', '冒险']",9.1,15616,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.webp,https://movie.douban.com/subject/1292778/
28,流浪者之歌,"['达沃尔·杜伊莫维奇', '博拉·托德洛维奇', 'Ajnur Redzepi', 'Mirsad Zulic', 'Suada Karisik', 'Elvira Sali', 'Husnija Hasimovic', '扎比特·梅梅托夫', '鲁比卡·艾德维奇', 'Sinolicka Trpkova', 'Boris Juh', '普雷德拉格·拉科维奇', 'Marjeta Gregorac', '布兰科·德约里奇', 'Sedrije Halim']",1988-12-21,"['意大利', '英国', '南斯拉夫']","['喜剧', '犯罪', '剧情', '奇幻']",9.1,6006,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2384320756.webp,https://movie.douban.com/subject/1303525/
29,欢乐树的朋友们,[],2006-05-03,['美国'],"['动画', '喜剧']",9.1,5254,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533709702.webp,https://movie.douban.com/subject/4181031/
30,欢乐树的朋友们：赶尽杀绝,"['Ken Pontac', '沃伦·格拉夫', '凯恩·纳瓦罗']",2005-11-28,['美国'],"['动画', '喜剧']",9.1,5181,https://img3.doubanio.com/view/subject/l/public/s1806732.jpg,https://movie.douban.com/subject/3075070/
31,欢乐树的朋友们：滑雪巡逻救生队,"['沃伦·格拉夫', '比利·维斯特', '凯恩·纳瓦罗']",2006-04-12,['美国'],"['喜剧', '动画']",9.1,1582,https://img3.doubanio.com/view/subject/l/public/s3622650.jpg,https://movie.douban.com/subject/3075092/
32,克里斯·洛克：无所畏惧,"['克里斯·洛克', 'Doug E. Fresh', '托尼·洛克']",2004-04-17,['美国'],['喜剧'],9.1,1072,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508660995.webp,https://movie.douban.com/subject/2173593/
33,迪兰·莫兰：是什么？,['迪兰·莫兰'],2009,"['英国', '澳大利亚']",['喜剧'],9.1,1005,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517976810.webp,https://movie.douban.com/subject/4850732/
34,我不是药神,"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑', '张子贤', '邓飞', '任洛敏', '杜子蓝', '刘兴雷', '宁晓志', '甘昀宸', '石强', '刘頔', '杜家毅', '何李宁', '陈翃', '马千壹']",2018-07-05,['中国大陆'],"['剧情', '喜剧']",9.0,1432787,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.webp,https://movie.douban.com/subject/26752088/
35,飞屋环游记,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多', '杰罗姆·兰福特', '约翰·拉岑贝格', '大卫·卡耶', '艾丽·道克特', '杰里米·利里', '米凯·麦高万', '丹尼·曼恩', '唐纳德·富利洛夫', '杰斯·哈梅尔', '乔什·库雷', '彼特·道格特', '布兰达∙查普曼', '泰迪·牛顿', '保罗·伊丁', '托尼·弗希勒', '雪莉·琳恩']",2009-08-04,['美国'],"['剧情', '喜剧', '动画', '冒险']",9.0,921888,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.webp,https://movie.douban.com/subject/2129039/
36,大话西游之月光宝盒,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚', '江约诚', '陆树铭', '刘镇伟', '朱茵', '李健仁', '许敬义', '胡立成', '蔡少芬']",2014-10-24,"['中国香港', '中国大陆']","['喜剧', '爱情', '奇幻', '古装']",9.0,825636,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.webp,https://movie.douban.com/subject/1299398/
37,罗马假日,"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯', '玛格丽特·罗林斯', '托里奥·卡米纳提', 'Paolo Carlini', 'Claudio Ermelli', '保拉·布鲁布尼', '里佐·弗雷多里佐', 'Laura Solari', 'Gorella Gori', 'Armando Annuale', '毛里齐奥·阿雷纳', 'Silvio Bagolini', 'Gildo Bocci', '弗兰科·科尔萨罗', 'John Cortay', 'Vittoria Crispo', 'Sidney Gordon', 'Luigi Moneta', 'Piero Pastore', '米莫·波利', 'Carlo Rizzo', 'Gianna Segale', '阿梅代奥·特里利', '海伦·塔布斯', 'Marco Tulli', 'Joop van Hulzen', 'Catherine Wyler', 'Judy Wyler', '陆建艺', '金毅']",1953-08-20,['美国'],"['喜剧', '剧情', '爱情']",9.0,675503,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.webp,https://movie.douban.com/subject/1293839/
38,雨中曲,"['吉恩·凯利', '唐纳德·奥康纳', '黛比·雷诺斯', '简·哈根', '米勒德·米切尔', '赛德·查里斯', '达格拉斯·福雷', '丽塔·莫雷诺', '道恩·艾达丝', 'John Albright', 'Betty Allen', 'Bette Arlen', 'David Bair', '玛格丽特·伯特', 'Madge Blake', 'Gail Bonney', 'Chet Brandenburg', '梅·克拉克', 'Harry Cody', 'Chick Collins', 'Pat Conway', 'Jeanne Coyne', 'Fred Datig Jr.', 'Kay Deslys', 'John Dodsworth', '金·多诺万', 'Phil Dunham', '海伦·艾比罗克', 'Richard Emory', 'Tommy Farrell', 'Ernie Flatt', '贝丝·弗劳尔斯', '罗伯特·福捷', 'Dan Foster', 'Robert Foulk', 'Eric Freeman', '凯瑟琳·弗里曼', '兰斯·富勒', '杰克·乔治', 'John George', 'Inez Gorman', 'A. Cameron Grant', 'Beatrice Gray', 'William Hamel', '山姆·哈里斯', 'Timmy Hawkins', 'Jean Heremans', '斯图尔特·霍姆斯', '肯纳G.肯普', '迈克·拉里', '乔伊·兰辛', 'William F. Leicester', 'Sylvia Lewis']",1952-04-11,['美国'],"['喜剧', '歌舞', '爱情']",9.0,142752,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.webp,https://movie.douban.com/subject/1293460/
